token	sentid	word	wordpos	model	tokenizer	punctuation	prob	surp
The	1	The	0	bert-base-cased	bert-base-cased	False	0.5291910767555237	0.9181394577026367
pilot	1	pilot	1	bert-base-cased	bert-base-cased	False	8.084259206952993e-06	16.916452407836914
abandon	1	abandon	2	bert-base-cased	bert-base-cased	False	1.5097025851673607e-08	25.98116111755371
The	2	The	0	bert-base-cased	bert-base-cased	False	0.8710381984710693	0.19919215142726898
pilot	2	pilot	1	bert-base-cased	bert-base-cased	False	0.003923111595213413	7.993785858154297
abandon	2	abandons	2	bert-base-cased	bert-base-cased	False	3.053827640542295e-06	18.32094955444336
##s	2	abandons	2	bert-base-cased	bert-base-cased	False	0.0013954268069937825	9.485077857971191
The	3	The	0	bert-base-cased	bert-base-cased	False	0.789368212223053	0.3412296772003174
pilot	3	pilot	1	bert-base-cased	bert-base-cased	False	0.00010482287325430661	13.219758987426758
a	3	abate	2	bert-base-cased	bert-base-cased	False	2.7274621970718727e-05	15.162081718444824
##bate	3	abate	2	bert-base-cased	bert-base-cased	False	2.1229324431715213e-07	22.167438507080078
The	4	The	0	bert-base-cased	bert-base-cased	False	0.8610621690750122	0.21581068634986877
pilot	4	pilot	1	bert-base-cased	bert-base-cased	False	6.861686415504664e-05	13.831077575683594
a	4	abates	2	bert-base-cased	bert-base-cased	False	0.00045665769721381366	11.096599578857422
##bate	4	abates	2	bert-base-cased	bert-base-cased	False	0.000134421163238585	12.860952377319336
##s	4	abates	2	bert-base-cased	bert-base-cased	False	0.01904253661632538	5.714630603790283
The	5	The	0	bert-base-cased	bert-base-cased	False	0.3599378168582916	1.4741804599761963
pilot	5	pilot	1	bert-base-cased	bert-base-cased	False	0.00027486769249662757	11.828974723815918
a	5	abide	2	bert-base-cased	bert-base-cased	False	2.7274621970718727e-05	15.162081718444824
##bide	5	abide	2	bert-base-cased	bert-base-cased	False	1.0196301047926681e-07	23.22545051574707
The	6	The	0	bert-base-cased	bert-base-cased	False	0.5838972926139832	0.776213526725769
pilot	6	pilot	1	bert-base-cased	bert-base-cased	False	0.00022142106899991632	12.14091968536377
a	6	abides	2	bert-base-cased	bert-base-cased	False	0.00045665769721381366	11.096599578857422
##bide	6	abides	2	bert-base-cased	bert-base-cased	False	4.477021502680145e-05	14.447101593017578
##s	6	abides	2	bert-base-cased	bert-base-cased	False	0.0015838450053706765	9.302352905273438
The	7	The	0	bert-base-cased	bert-base-cased	False	0.5291534066200256	0.9182420372962952
pilot	7	pilot	1	bert-base-cased	bert-base-cased	False	3.173352979501942e-06	18.265560150146484
a	7	abolish	2	bert-base-cased	bert-base-cased	False	0.00045665769721381366	11.096599578857422
##bol	7	abolish	2	bert-base-cased	bert-base-cased	False	1.5109695596038364e-05	16.0141658782959
##ish	7	abolish	2	bert-base-cased	bert-base-cased	False	0.001909159473143518	9.032846450805664
The	8	The	0	bert-base-cased	bert-base-cased	False	0.8634504079818726	0.21181480586528778
pilot	8	pilot	1	bert-base-cased	bert-base-cased	False	8.225296187447384e-05	13.569572448730469
a	8	abolishes	2	bert-base-cased	bert-base-cased	False	0.00045665769721381366	11.096599578857422
##bol	8	abolishes	2	bert-base-cased	bert-base-cased	False	1.5109695596038364e-05	16.0141658782959
##ishes	8	abolishes	2	bert-base-cased	bert-base-cased	False	0.7954884767532349	0.3300870954990387
The	9	The	0	bert-base-cased	bert-base-cased	False	0.5240879654884338	0.9321190714836121
pilot	9	pilot	1	bert-base-cased	bert-base-cased	False	3.2635712159390096e-06	18.225116729736328
